part_stage_state_id,sample_id,stage_id,subassembly_id,part_id,parent_part_state_id_optional,pose_state,structural_displacement_vector_id,reference_state_id,absolute_or_increment,covariance_id_optional,quality_flag,metadata
PART_STATE_PANEL_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,P_PANEL_A,,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_PANEL_LOCATE_01,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_RIB_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,P_RIB_B,,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_RIB_LOCATE_01,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_SPAR_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,P_SPAR_C,,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_SPAR_LOCATE_01,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_BRACKET_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,P_BRACKET_D,,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_BRACKET_LOCATE_01,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_PANEL_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,P_PANEL_A,PART_STATE_PANEL_LOCATE_01,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_PANEL_CLAMP_02,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_RIB_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,P_RIB_B,PART_STATE_RIB_LOCATE_01,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_RIB_CLAMP_02,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_SPAR_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,P_SPAR_C,PART_STATE_SPAR_LOCATE_01,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_SPAR_CLAMP_02,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_BRACKET_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,P_BRACKET_D,PART_STATE_BRACKET_LOCATE_01,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_BRACKET_CLAMP_02,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_PANEL_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,P_PANEL_A,PART_STATE_PANEL_CLAMP_02,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_PANEL_JOIN_03,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_RIB_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,P_RIB_B,PART_STATE_RIB_CLAMP_02,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_RIB_JOIN_03,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_SPAR_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,P_SPAR_C,PART_STATE_SPAR_CLAMP_02,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_SPAR_JOIN_03,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_BRACKET_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,P_BRACKET_D,PART_STATE_BRACKET_CLAMP_02,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_BRACKET_JOIN_03,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_PANEL_RELEASE_04,SAMPLE_001,S_RELEASE_04,ASM_ABCD,P_PANEL_A,PART_STATE_PANEL_JOIN_03,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_PANEL_RELEASE_04,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_RIB_RELEASE_04,SAMPLE_001,S_RELEASE_04,ASM_ABCD,P_RIB_B,PART_STATE_RIB_JOIN_03,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_RIB_RELEASE_04,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_SPAR_RELEASE_04,SAMPLE_001,S_RELEASE_04,ASM_ABCD,P_SPAR_C,PART_STATE_SPAR_JOIN_03,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_SPAR_RELEASE_04,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
PART_STATE_BRACKET_RELEASE_04,SAMPLE_001,S_RELEASE_04,ASM_ABCD,P_BRACKET_D,PART_STATE_BRACKET_JOIN_03,"[0.0,0.0,0.0,0.0,0.0,0.0]",U_PART_BRACKET_RELEASE_04,REF_NOMINAL,absolute,,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
