stage_parameter_snapshot_id,stage_id,interface_id_optional,parameter_names,parameter_values,covariance,parameter_scope,persistence_policy,validity_domain_id,source_prior_or_update_ids,update_permission,active_bounds,quality_flag,metadata
STAGE_PARAM_1_LOCATE_01,S_LOCATE_01,G_PANEL_RIB,Cn,"[0.00012,0.00012,0.00012]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_AB,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_2_LOCATE_01,S_LOCATE_01,G_RIB_SPAR,Cn,"[0.00015,0.00015,0.00015]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_BC,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_3_LOCATE_01,S_LOCATE_01,G_PANEL_BRACKET,Cn,"[0.0001,0.0001,0.0001]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_AD,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_4_LOCATE_01,S_LOCATE_01,G_RIB_BRACKET,Cn,"[0.00013,0.00013,0.00013]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_BD,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_1_CLAMP_02,S_CLAMP_02,G_PANEL_RIB,Cn,"[0.00012,0.00012,0.00012]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_AB,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_2_CLAMP_02,S_CLAMP_02,G_RIB_SPAR,Cn,"[0.00015,0.00015,0.00015]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_BC,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_3_CLAMP_02,S_CLAMP_02,G_PANEL_BRACKET,Cn,"[0.0001,0.0001,0.0001]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_AD,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_4_CLAMP_02,S_CLAMP_02,G_RIB_BRACKET,Cn,"[0.00013,0.00013,0.00013]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_BD,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_1_JOIN_03,S_JOIN_03,G_PANEL_RIB,Cn,"[0.00012,0.00012,0.00012]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_AB,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
STAGE_PARAM_2_JOIN_03,S_JOIN_03,G_RIB_SPAR,Cn,"[0.00015,0.00015,0.00015]",,INTERFACE_BLOCK,PERSIST_WITHIN_VALID_DOMAIN,VD_MULTIPART,IPAR_BC,FROZEN_SYNTHETIC_FIXTURE,"[0,inf]",PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
