object_name,file_path,group,row_mode
AssemblyTopology,I0/assembly_topology.csv,I0,synthetic_multi_part
Interface,I0/interface.csv,I0,synthetic_multi_part
JointDefinition,I0/joint_definition.csv,I0,synthetic_multi_part
LocalRegionDefinition,I0/local_region_definition.csv,I0,synthetic_multi_part
Material,I0/material.csv,I0,synthetic_multi_part
NominalModel,I0/nominal_model.csv,I0,synthetic_multi_part
Part,I0/part.csv,I0,synthetic_multi_part
SmsPrior,I0/sms_prior.csv,I0,synthetic_multi_part
StageDefinition,I0/stage_definition.csv,I0,synthetic_multi_part
Subassembly,I0/subassembly.csv,I0,synthetic_multi_part
SubassemblyMembership,I0/subassembly_membership.csv,I0,synthetic_multi_part
AreaWeightMatrix,I_Gamma/area_weight_matrix.csv,I_Gamma,synthetic_multi_part
ContactDomain,I_Gamma/contact_domain.csv,I_Gamma,synthetic_multi_part
ContactPoint,I_Gamma/contact_point.csv,I_Gamma,synthetic_multi_part
ExtendedContactDomain,I_Gamma/extended_contact_domain.csv,I_Gamma,synthetic_multi_part
ExtendedGapAndCompliance,I_Gamma/extended_gap_and_compliance.csv,I_Gamma,synthetic_multi_part
GapField,I_Gamma/gap_field.csv,I_Gamma,synthetic_multi_part
FeatureMapping,I_key/feature_mapping.csv,I_key,synthetic_multi_part
KcmDefinition,I_key/kcm_definition.csv,I_key,synthetic_multi_part
KcpDefinition,I_key/kcp_definition.csv,I_key,synthetic_multi_part
DataSplit,I_meas/data_split.csv,I_meas,synthetic_multi_part
FixtureCalibration,I_meas/fixture_calibration.csv,I_meas,synthetic_multi_part
InterfaceTestSetup,I_meas/interface_test_setup.csv,I_meas,synthetic_multi_part
InterfaceTestSpecimen,I_meas/interface_test_specimen.csv,I_meas,synthetic_multi_part
LoadingPath,I_meas/loading_path.csv,I_meas,synthetic_multi_part
MeasurementPackage,I_meas/measurement_package.csv,I_meas,synthetic_multi_part
MeasurementRecord,I_meas/measurement_record.csv,I_meas,synthetic_multi_part
MeasurementStateCompensationResult,I_meas/measurement_state_compensation_result.csv,I_meas,synthetic_multi_part
MeasurementStateSnapshot,I_meas/measurement_state_snapshot.csv,I_meas,synthetic_multi_part
SensorCalibration,I_meas/sensor_calibration.csv,I_meas,synthetic_multi_part
BoundaryInheritanceRecord,I_red/boundary_inheritance_record.csv,I_red,synthetic_multi_part
CacheInvalidationRule,I_red/cache_invalidation_rule.csv,I_red,synthetic_multi_part
CondensedOperator,I_red/condensed_operator.csv,I_red,synthetic_multi_part
DofPartition,I_red/dof_partition.csv,I_red,synthetic_multi_part
FactorizationCache,I_red/factorization_cache.csv,I_red,synthetic_multi_part
LocalModelValidationResult,I_red/local_model_validation_result.csv,I_red,synthetic_multi_part
LocalSubmodelExtraction,I_red/local_submodel_extraction.csv,I_red,synthetic_multi_part
BoundaryItem,I_stage/boundary_item.csv,I_stage,synthetic_multi_part
ConnectionLockHistory,I_stage/connection_lock_history.csv,I_stage,synthetic_multi_part
InterfaceStageState,I_stage/interface_stage_state.csv,I_stage,synthetic_multi_part
LoadItem,I_stage/load_item.csv,I_stage,synthetic_multi_part
