topology_id,measurement_checkpoint_id,reference_state_id,topology_step_id,step_order,parent_topology_step_id,assembly_cycle_id,operation_type,stage_id,input_subassembly_id,result_subassembly_id,added_part_ids,removed_part_ids,activated_interface_ids,deactivated_interface_ids,activated_boundary_ids,deactivated_boundary_ids,activated_load_ids,removed_load_ids,activated_joint_ids,deactivated_joint_ids,operator_set_id,solve_required,notes,assembly_step,part_in,existing_subassembly,result_subassembly,predecessor_step_id,successor_step_id
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS000,0,,CYCLE_INIT,INIT,S_LOCATE_01,,ASM_A,P_A,,,,,,,,,,,False,Initialize the first part without solving.,0,P_A,,ASM_A,,TS101
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS101,101,TS000,CYCLE_AB,LOCATE,S_LOCATE_01,ASM_A,ASM_AB,P_B,,G_AB,,BND_PANEL_BASE;BND_RIB_PIN,,LOAD_GRAVITY_ALL,,,,OP_TS101,True,Add part B and activate interface AB.,101,P_B,ASM_A,ASM_AB,TS000,TS102
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS102,102,TS101,CYCLE_AB,CLAMP,S_CLAMP_02,ASM_AB,ASM_AB,,,,,,,LOAD_CLAMP_G_AB,,,,OP_TS102,True,Clamp interface AB.,102,,ASM_AB,ASM_AB,TS101,TS103
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS103,103,TS102,CYCLE_AB,JOIN,S_JOIN_03,ASM_AB,ASM_AB,,,,,,,LOAD_PRELOAD_G_AB,,JNT_AB,,OP_TS103,True,Lock joint AB.,103,,ASM_AB,ASM_AB,TS102,TS104
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS104,104,TS103,CYCLE_AB,RELEASE,S_RELEASE_04,ASM_AB,ASM_AB,,,,,,BND_PANEL_BASE;BND_RIB_PIN,,LOAD_CLAMP_G_AB,,,OP_TS104,True,Release AB tooling while retaining the joint.,104,,ASM_AB,ASM_AB,TS103,TS201
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS201,201,TS104,CYCLE_BC,LOCATE,S_LOCATE_01,ASM_AB,ASM_ABC,P_C,,G_BC,,BND_SPAR_SUPPORT,,,,,,OP_TS201,True,Add part C and activate interface BC.,201,P_C,ASM_AB,ASM_ABC,TS104,TS202
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS202,202,TS201,CYCLE_BC,CLAMP,S_CLAMP_02,ASM_ABC,ASM_ABC,,,,,,,LOAD_CLAMP_G_BC,,,,OP_TS202,True,Solve AB and BC globally.,202,,ASM_ABC,ASM_ABC,TS201,TS203
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS203,203,TS202,CYCLE_BC,JOIN,S_JOIN_03,ASM_ABC,ASM_ABC,,,,,,,LOAD_PRELOAD_G_BC,,JNT_BC,,OP_TS203,True,Lock joint BC.,203,,ASM_ABC,ASM_ABC,TS202,TS204
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS204,204,TS203,CYCLE_BC,RELEASE,S_RELEASE_04,ASM_ABC,ASM_ABC,,,,,,BND_SPAR_SUPPORT,,LOAD_CLAMP_G_BC,,,OP_TS204,True,Release BC tooling and retain existing joints.,204,,ASM_ABC,ASM_ABC,TS203,TS301
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS301,301,TS204,CYCLE_D,LOCATE,S_LOCATE_01,ASM_ABC,ASM_ABCD,P_D,,G_AD;G_DB,,BND_BRACKET_PIN,,,,,,OP_TS301,True,Add part D and activate AD and DB in one global solve.,301,P_D,ASM_ABC,ASM_ABCD,TS204,TS302
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS302,302,TS301,CYCLE_D,CLAMP,S_CLAMP_02,ASM_ABCD,ASM_ABCD,,,,,,,LOAD_CLAMP_G_AD;LOAD_CLAMP_G_DB,,,,OP_TS302,True,Clamp all active interfaces.,302,,ASM_ABCD,ASM_ABCD,TS301,TS303
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS303,303,TS302,CYCLE_D,JOIN,S_JOIN_03,ASM_ABCD,ASM_ABCD,,,,,,,LOAD_PRELOAD_G_AD;LOAD_PRELOAD_G_DB,,JNT_AD;JNT_DB,,OP_TS303,True,Lock joints AD and DB in one JOIN step.,303,,ASM_ABCD,ASM_ABCD,TS302,TS304
TOPOLOGY_STEP_MIN_CASE,,PARENT_RUNTIME_STATE,TS304,304,TS303,CYCLE_D,RELEASE,S_RELEASE_04,ASM_ABCD,ASM_ABCD,,,,,,BND_BRACKET_PIN,,LOAD_CLAMP_G_AD;LOAD_CLAMP_G_DB,,,OP_TS304,True,Release tooling while retaining all configured joints.,304,,ASM_ABCD,ASM_ABCD,TS303,
