file_path,object_name,field_name,data_type,required,cardinality,unit,enum_or_format,key_semantics,missing_handling,description,example_value
I0/assembly_topology.csv,TopologyStepSpec,topology_id,string,True,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.topology_id,TOPOLOGY_STEP_MIN_CASE
I0/assembly_topology.csv,TopologyStepSpec,measurement_checkpoint_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.measurement_checkpoint_id,
I0/assembly_topology.csv,TopologyStepSpec,reference_state_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.reference_state_id,PARENT_RUNTIME_STATE
I0/assembly_topology.csv,TopologyStepSpec,topology_step_id,string,True,0..1,dimensionless,,PK TopologyStepSpec,blank allowed unless required,TopologyStepSpec.topology_step_id,TS000
I0/assembly_topology.csv,TopologyStepSpec,step_order,integer,True,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.step_order,0
I0/assembly_topology.csv,TopologyStepSpec,parent_topology_step_id,string,False,0..1,dimensionless,,self FK -> topology_step_id,blank allowed unless required,TopologyStepSpec.parent_topology_step_id,TS000
I0/assembly_topology.csv,TopologyStepSpec,assembly_cycle_id,string,True,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.assembly_cycle_id,CYCLE_INIT
I0/assembly_topology.csv,TopologyStepSpec,operation_type,string,True,0..1,dimensionless,INIT|LOCATE|CLAMP|JOIN|RELEASE|MEASURE|INSPECT|other configured ID,,blank allowed unless required,TopologyStepSpec.operation_type,INIT
I0/assembly_topology.csv,TopologyStepSpec,stage_id,string,True,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.stage_id,S_LOCATE_01
I0/assembly_topology.csv,TopologyStepSpec,input_subassembly_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.input_subassembly_id,ASM_A
I0/assembly_topology.csv,TopologyStepSpec,result_subassembly_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.result_subassembly_id,ASM_A
I0/assembly_topology.csv,TopologyStepSpec,added_part_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.added_part_ids,P_A
I0/assembly_topology.csv,TopologyStepSpec,removed_part_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.removed_part_ids,
I0/assembly_topology.csv,TopologyStepSpec,activated_interface_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.activated_interface_ids,G_AB
I0/assembly_topology.csv,TopologyStepSpec,deactivated_interface_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.deactivated_interface_ids,
I0/assembly_topology.csv,TopologyStepSpec,activated_boundary_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.activated_boundary_ids,BND_PANEL_BASE;BND_RIB_PIN
I0/assembly_topology.csv,TopologyStepSpec,deactivated_boundary_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.deactivated_boundary_ids,BND_PANEL_BASE;BND_RIB_PIN
I0/assembly_topology.csv,TopologyStepSpec,activated_load_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.activated_load_ids,LOAD_GRAVITY_ALL
I0/assembly_topology.csv,TopologyStepSpec,removed_load_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.removed_load_ids,LOAD_CLAMP_G_AB
I0/assembly_topology.csv,TopologyStepSpec,activated_joint_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.activated_joint_ids,JNT_AB
I0/assembly_topology.csv,TopologyStepSpec,deactivated_joint_ids,string,False,0..*,dimensionless,semicolon-separated IDs,semicolon-separated FK list to the named object table,empty list,TopologyStepSpec.deactivated_joint_ids,
I0/assembly_topology.csv,TopologyStepSpec,operator_set_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.operator_set_id,OP_TS101
I0/assembly_topology.csv,TopologyStepSpec,solve_required,boolean,True,0..1,dimensionless,true|false,,blank allowed unless required,TopologyStepSpec.solve_required,False
I0/assembly_topology.csv,TopologyStepSpec,notes,string,False,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.notes,Initialize the first part without solving.
I0/assembly_topology.csv,TopologyStepSpec,assembly_step,integer,False,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.assembly_step,0
I0/assembly_topology.csv,TopologyStepSpec,part_in,string,False,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.part_in,P_A
I0/assembly_topology.csv,TopologyStepSpec,existing_subassembly,string,False,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.existing_subassembly,ASM_A
I0/assembly_topology.csv,TopologyStepSpec,result_subassembly,string,False,0..1,dimensionless,,,blank allowed unless required,TopologyStepSpec.result_subassembly,ASM_A
I0/assembly_topology.csv,TopologyStepSpec,predecessor_step_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.predecessor_step_id,TS000
I0/assembly_topology.csv,TopologyStepSpec,successor_step_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,TopologyStepSpec.successor_step_id,TS101
I0/interface.csv,Interface,interface_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field interface_id in I0/interface.csv,G_AB
I0/interface.csv,Interface,interface_name,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field interface_name in I0/interface.csv,PANEL_A_TO_RIB_B
I0/interface.csv,Interface,part_i,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field part_i in I0/interface.csv,P_A
I0/interface.csv,Interface,part_j,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field part_j in I0/interface.csv,P_B
I0/interface.csv,Interface,side_i_region_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field side_i_region_id in I0/interface.csv,REG_PANEL_AB
I0/interface.csv,Interface,side_j_region_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field side_j_region_id in I0/interface.csv,REG_RIB_AB
I0/interface.csv,Interface,material_pair,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field material_pair in I0/interface.csv,CFRP-CFRP
I0/interface.csv,Interface,nominal_gap,number,False,0..1,dimensionless,,,blank allowed unless required,Schema field nominal_gap in I0/interface.csv,0.06
I0/interface.csv,Interface,contact_candidate_flag,boolean,False,0..1,dimensionless,,,blank allowed unless required,Schema field contact_candidate_flag in I0/interface.csv,TRUE
I0/interface.csv,Interface,key_contact_flag,boolean,False,0..1,dimensionless,,,blank allowed unless required,Schema field key_contact_flag in I0/interface.csv,TRUE
I0/interface.csv,Interface,coordinate_system_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field coordinate_system_id in I0/interface.csv,CS_ASSEMBLY
I0/interface.csv,Interface,metadata,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field metadata in I0/interface.csv,"{""connection_pattern"":""SERIAL_SEED_AND_DIRECT_PARALLEL_PATH"",""data_nature"":""SYNTHETIC""}"
I0/joint_definition.csv,JointDefinition,joint_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field joint_id in I0/joint_definition.csv,JNT_AB
I0/joint_definition.csv,JointDefinition,interface_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field interface_id in I0/joint_definition.csv,G_AB
I0/joint_definition.csv,JointDefinition,part_i,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field part_i in I0/joint_definition.csv,P_A
I0/joint_definition.csv,JointDefinition,part_j,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field part_j in I0/joint_definition.csv,P_B
I0/joint_definition.csv,JointDefinition,joint_type,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field joint_type in I0/joint_definition.csv,FINITE_STIFFNESS_LOCK
I0/joint_definition.csv,JointDefinition,constrained_dofs,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field constrained_dofs in I0/joint_definition.csv,NORMAL
I0/joint_definition.csv,JointDefinition,stiffness_matrix_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field stiffness_matrix_id in I0/joint_definition.csv,KJ_JNT_AB
I0/joint_definition.csv,JointDefinition,preload_definition_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field preload_definition_id in I0/joint_definition.csv,PRELOAD_JNT_AB
I0/joint_definition.csv,JointDefinition,activation_stage_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field activation_stage_id in I0/joint_definition.csv,S_JOIN_03
I0/joint_definition.csv,JointDefinition,retention_rule,string,False,0..1,dimensionless,RETAIN_THROUGH_RELEASE|REMOVE_AT_RELEASE,,blank allowed unless required,Schema field retention_rule in I0/joint_definition.csv,RETAIN_THROUGH_RELEASE
I0/joint_definition.csv,JointDefinition,metadata,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field metadata in I0/joint_definition.csv,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/local_region_definition.csv,LocalRegionDefinition,local_region_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field local_region_id in I0/local_region_definition.csv,LR_AB
I0/local_region_definition.csv,LocalRegionDefinition,interface_id,string,False,0..1,dimensionless,,object identifier or foreign key per schema,blank allowed unless required,Schema field interface_id in I0/local_region_definition.csv,G_AB
I0/local_region_definition.csv,LocalRegionDefinition,included_geometry_regions,string,False,0..1,dimensionless,,,blank allowed unless required,Schema field included_geometry_regions in I0/local_region_definition.csv,REG_AB_I;REG_AB_J
