object_name,input_package,file_path,primary_key,code_consumer,producer,is_synthetic,is_runtime_result,group,row_mode
AssemblyTopology,02_TOPOLOGY_STEP_MIN_CASE,I0/assembly_topology.csv,topology_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
Interface,02_TOPOLOGY_STEP_MIN_CASE,I0/interface.csv,interface_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
JointDefinition,02_TOPOLOGY_STEP_MIN_CASE,I0/joint_definition.csv,joint_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
LocalRegionDefinition,02_TOPOLOGY_STEP_MIN_CASE,I0/local_region_definition.csv,local_region_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
Material,02_TOPOLOGY_STEP_MIN_CASE,I0/material.csv,material_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
NominalModel,02_TOPOLOGY_STEP_MIN_CASE,I0/nominal_model.csv,nominal_model_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
Part,02_TOPOLOGY_STEP_MIN_CASE,I0/part.csv,part_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
SmsPrior,02_TOPOLOGY_STEP_MIN_CASE,I0/sms_prior.csv,sms_prior_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
StageDefinition,02_TOPOLOGY_STEP_MIN_CASE,I0/stage_definition.csv,stage_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
Subassembly,02_TOPOLOGY_STEP_MIN_CASE,I0/subassembly.csv,subassembly_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
SubassemblyMembership,02_TOPOLOGY_STEP_MIN_CASE,I0/subassembly_membership.csv,membership_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I0,synthetic_topology_step
AreaWeightMatrix,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/area_weight_matrix.csv,area_weight_matrix_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
ContactDomain,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/contact_domain.csv,contact_domain_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
ContactPoint,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/contact_point.csv,point_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
ExtendedContactDomain,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/extended_contact_domain.csv,extended_domain_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
ExtendedGapAndCompliance,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/extended_gap_and_compliance.csv,ext_gap_compliance_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
GapField,02_TOPOLOGY_STEP_MIN_CASE,I_Gamma/gap_field.csv,gap_field_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_Gamma,synthetic_topology_step
FeatureMapping,02_TOPOLOGY_STEP_MIN_CASE,I_key/feature_mapping.csv,feature_mapping_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_key,synthetic_topology_step
KcmDefinition,02_TOPOLOGY_STEP_MIN_CASE,I_key/kcm_definition.csv,kcm_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_key,synthetic_topology_step
KcpDefinition,02_TOPOLOGY_STEP_MIN_CASE,I_key/kcp_definition.csv,kcp_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_key,synthetic_topology_step
DataSplit,02_TOPOLOGY_STEP_MIN_CASE,I_meas/data_split.csv,data_split_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
FixtureCalibration,02_TOPOLOGY_STEP_MIN_CASE,I_meas/fixture_calibration.csv,fixture_calibration_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
InterfaceTestSetup,02_TOPOLOGY_STEP_MIN_CASE,I_meas/interface_test_setup.csv,setup_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
InterfaceTestSpecimen,02_TOPOLOGY_STEP_MIN_CASE,I_meas/interface_test_specimen.csv,specimen_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
LoadingPath,02_TOPOLOGY_STEP_MIN_CASE,I_meas/loading_path.csv,loading_path_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
MeasurementPackage,02_TOPOLOGY_STEP_MIN_CASE,I_meas/measurement_package.csv,measurement_package_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
MeasurementRecord,02_TOPOLOGY_STEP_MIN_CASE,I_meas/measurement_record.csv,measurement_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
MeasurementStateCompensationResult,02_TOPOLOGY_STEP_MIN_CASE,I_meas/measurement_state_compensation_result.csv,compensation_result_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
MeasurementStateSnapshot,02_TOPOLOGY_STEP_MIN_CASE,I_meas/measurement_state_snapshot.csv,measurement_state_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
SensorCalibration,02_TOPOLOGY_STEP_MIN_CASE,I_meas/sensor_calibration.csv,sensor_calibration_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_meas,synthetic_topology_step
BoundaryInheritanceRecord,02_TOPOLOGY_STEP_MIN_CASE,I_red/boundary_inheritance_record.csv,boundary_inheritance_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
CacheInvalidationRule,02_TOPOLOGY_STEP_MIN_CASE,I_red/cache_invalidation_rule.csv,rule_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
CondensedOperator,02_TOPOLOGY_STEP_MIN_CASE,I_red/condensed_operator.csv,condensed_operator_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
DofPartition,02_TOPOLOGY_STEP_MIN_CASE,I_red/dof_partition.csv,dof_partition_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
FactorizationCache,02_TOPOLOGY_STEP_MIN_CASE,I_red/factorization_cache.csv,factorization_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
LocalModelValidationResult,02_TOPOLOGY_STEP_MIN_CASE,I_red/local_model_validation_result.csv,validation_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
LocalSubmodelExtraction,02_TOPOLOGY_STEP_MIN_CASE,I_red/local_submodel_extraction.csv,local_model_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_red,synthetic_topology_step
BoundaryItem,02_TOPOLOGY_STEP_MIN_CASE,I_stage/boundary_item.csv,boundary_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
ConnectionLockHistory,02_TOPOLOGY_STEP_MIN_CASE,I_stage/connection_lock_history.csv,lock_history_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
InterfaceStageState,02_TOPOLOGY_STEP_MIN_CASE,I_stage/interface_stage_state.csv,interface_stage_state_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
LoadItem,02_TOPOLOGY_STEP_MIN_CASE,I_stage/load_item.csv,load_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
LocatorCompliance,02_TOPOLOGY_STEP_MIN_CASE,I_stage/locator_compliance.csv,compliance_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
LocatorElement,02_TOPOLOGY_STEP_MIN_CASE,I_stage/locator_element.csv,locator_element_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
OverconstraintLocatorGroup,02_TOPOLOGY_STEP_MIN_CASE,I_stage/overconstraint_locator_group.csv,locator_group_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
PartStageState,02_TOPOLOGY_STEP_MIN_CASE,I_stage/part_stage_state.csv,part_stage_state_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
ReducedForceVector,02_TOPOLOGY_STEP_MIN_CASE,I_stage/reduced_force_vector.csv,reduced_force_vector_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
ReleaseHistoryRecord,02_TOPOLOGY_STEP_MIN_CASE,I_stage/release_history_record.csv,release_history_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StageIncrement,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_increment.csv,stage_increment_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StageInput,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_input.csv,stage_input_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StageParameterSnapshot,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_parameter_snapshot.csv,stage_parameter_snapshot_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StagePosteriorPackage,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_posterior_package.csv,stage_posterior_package_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StageStateSnapshot,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_state_snapshot.csv,stage_state_snapshot_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
StageTransitionRecord,02_TOPOLOGY_STEP_MIN_CASE,I_stage/stage_transition_record.csv,transition_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stage,synthetic_topology_step
MonteCarloConfig,02_TOPOLOGY_STEP_MIN_CASE,I_stat/monte_carlo_config.csv,mc_config_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stat,synthetic_topology_step
RandomSample,02_TOPOLOGY_STEP_MIN_CASE,I_stat/random_sample.csv,random_sample_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stat,synthetic_topology_step
SensitivityResult,02_TOPOLOGY_STEP_MIN_CASE,I_stat/sensitivity_result.csv,sensitivity_result_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stat,synthetic_topology_step
StatisticalPredictionResult,02_TOPOLOGY_STEP_MIN_CASE,I_stat/statistical_prediction_result.csv,statistical_result_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,I_stat,synthetic_topology_step
MatrixManifest,02_TOPOLOGY_STEP_MIN_CASE,matrices/matrix_manifest.csv,matrix_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,matrices,synthetic_topology_step
VectorLayout,02_TOPOLOGY_STEP_MIN_CASE,matrices/vector_layout.csv,vector_layout_id,core.data_loader;core.package_validator,scripts/build_topology_step_fixture.py,True,False,matrices,synthetic_topology_step
