feature_mapping_id,source_feature_id,target_feature_id,mapping_type,matrix_id,sign_convention,reference_state_id,quality_flag,metadata
FM_PANEL_KCP_END_GAP,KCM_PANEL_PROFILE,KCP_END_GAP,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_PANEL_KCP_STEP_AB,KCM_PANEL_PROFILE,KCP_STEP_AB,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_PANEL_KCP_PARALLEL_BALANCE,KCM_PANEL_PROFILE,KCP_PARALLEL_BALANCE,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_RIB_KCP_END_GAP,KCM_RIB_PROFILE,KCP_END_GAP,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_RIB_KCP_STEP_AB,KCM_RIB_PROFILE,KCP_STEP_AB,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_RIB_KCP_PARALLEL_BALANCE,KCM_RIB_PROFILE,KCP_PARALLEL_BALANCE,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_SPAR_KCP_END_GAP,KCM_SPAR_PROFILE,KCP_END_GAP,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_SPAR_KCP_STEP_AB,KCM_SPAR_PROFILE,KCP_STEP_AB,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_SPAR_KCP_PARALLEL_BALANCE,KCM_SPAR_PROFILE,KCP_PARALLEL_BALANCE,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_BRACKET_KCP_END_GAP,KCM_BRACKET_PROFILE,KCP_END_GAP,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_BRACKET_KCP_STEP_AB,KCM_BRACKET_PROFILE,KCP_STEP_AB,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
FM_BRACKET_KCP_PARALLEL_BALANCE,KCM_BRACKET_PROFILE,KCP_PARALLEL_BALANCE,MULTIPART_JT,J_PART_ALL,positive_normal,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
