object_name,input_package,file_path,primary_key,code_consumer,producer,is_synthetic,is_runtime_result,group,row_mode
AssemblyTopology,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/assembly_topology.csv,topology_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Interface,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/interface.csv,interface_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
JointDefinition,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/joint_definition.csv,joint_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
LocalRegionDefinition,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/local_region_definition.csv,local_region_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Material,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/material.csv,material_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
NominalModel,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/nominal_model.csv,nominal_model_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Part,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/part.csv,part_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
SmsPrior,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/sms_prior.csv,sms_prior_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
StageDefinition,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/stage_definition.csv,stage_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Subassembly,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/subassembly.csv,subassembly_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
SubassemblyMembership,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I0/subassembly_membership.csv,membership_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
AreaWeightMatrix,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/area_weight_matrix.csv,area_weight_matrix_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ContactDomain,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/contact_domain.csv,contact_domain_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ContactPoint,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/contact_point.csv,point_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ExtendedContactDomain,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/extended_contact_domain.csv,extended_domain_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ExtendedGapAndCompliance,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/extended_gap_and_compliance.csv,ext_gap_compliance_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
GapField,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_Gamma/gap_field.csv,gap_field_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
FeatureMapping,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_key/feature_mapping.csv,feature_mapping_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
KcmDefinition,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_key/kcm_definition.csv,kcm_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
KcpDefinition,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_key/kcp_definition.csv,kcp_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
DataSplit,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_meas/data_split.csv,data_split_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
FixtureCalibration,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_meas/fixture_calibration.csv,fixture_calibration_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
InterfaceTestSetup,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_meas/interface_test_setup.csv,setup_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
InterfaceTestSpecimen,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_meas/interface_test_specimen.csv,specimen_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
LoadingPath,03_STAGE_MEASUREMENT_UPDATE_MIN_CASE,I_meas/loading_path.csv,loading_path_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
