interface_stage_state_id,sample_id,stage_id,subassembly_id,interface_id,contact_domain_id,parent_interface_state_id_optional,vector_layout_id,gap_g,lambda_n,pressure_p_n,local_compression_w_n,contact_mode_local_indices,joint_lock_history_id_optional,reference_state_id,quality_flag,metadata
IF_STATE_1_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,G_AB,CD_AB,,VL_CONTACT_ALL_12,"[0.08,0.04,0.06]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",[],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_2_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,G_BC,CD_BC,,VL_CONTACT_ALL_12,"[0.05,0.03,0.04]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",[],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_3_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,G_AD,CD_AD,,VL_CONTACT_ALL_12,"[0.1,0.07,0.09]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",[],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_4_LOCATE_01,SAMPLE_001,S_LOCATE_01,ASM_ABCD,G_DB,CD_DB,,VL_CONTACT_ALL_12,"[0.09,0.06,0.08]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",[],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_1_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,G_AB,CD_AB,IF_STATE_1_LOCATE_01,VL_CONTACT_ALL_12,"[0.0,0.0,0.018026764]","[16.2133069516,4.4817864607,0.0]","[0.0135110891,0.0037348221,0.0]","[0.0019455968,0.0005378144,0.0]","[0,1]",,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_2_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,G_BC,CD_BC,IF_STATE_2_LOCATE_01,VL_CONTACT_ALL_12,"[0.0,0.0143415417,0.0072336188]","[12.4034312477,0.0,0.0]","[0.0103361927,0.0,0.0]","[0.0018605147,0.0,0.0]",[0],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_3_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,G_AD,CD_AD,IF_STATE_3_LOCATE_01,VL_CONTACT_ALL_12,"[0.0,0.0213187856,0.0113698307]","[6.87360881,0.0,0.0]","[0.0068736088,0.0,0.0]","[0.0006873609,0.0,0.0]",[0],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_4_CLAMP_02,SAMPLE_001,S_CLAMP_02,ASM_ABCD,G_DB,CD_DB,IF_STATE_4_LOCATE_01,VL_CONTACT_ALL_12,"[0.0,0.0066558895,0.0197186]","[10.4414003964,0.0,0.0]","[0.0130517505,0.0,0.0]","[0.0013573821,0.0,0.0]",[0],,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_1_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,G_AB,CD_AB,IF_STATE_1_CLAMP_02,VL_CONTACT_ALL_12,"[0.0,0.0,0.0124689102]","[26.8629608771,12.7567895036,0.0]","[0.0223858007,0.0106306579,0.0]","[0.0032235553,0.0015308147,0.0]","[0,1]",LOCK_HIST_MULTIPART,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
IF_STATE_2_JOIN_03,SAMPLE_001,S_JOIN_03,ASM_ABCD,G_BC,CD_BC,IF_STATE_2_CLAMP_02,VL_CONTACT_ALL_12,"[0.0,0.0083611592,0.004246172]","[19.9307382657,0.0,0.0]","[0.0166089486,0.0,0.0]","[0.0029896107,0.0,0.0]",[0],LOCK_HIST_MULTIPART,REF_NOMINAL,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
