candidate_id,stage_id,t1_free_mm,t2_free_mm,source,quality_flag
M01,S_LOCATE_01,-0.00025,-0.00016250000000000002,synthetic_process_shear,PASS
M01,S_CLAMP_02,-0.001,-0.0006500000000000001,synthetic_process_shear,PASS
M01,S_JOIN_03,-0.002,-0.0013000000000000002,synthetic_process_shear,PASS
M01,S_RELEASE_04,-0.00075,-0.00048750000000000003,synthetic_process_shear,PASS
M02,S_LOCATE_01,-0.00025,0.0,synthetic_process_shear,PASS
M02,S_CLAMP_02,-0.001,0.0,synthetic_process_shear,PASS
M02,S_JOIN_03,-0.002,0.0,synthetic_process_shear,PASS
M02,S_RELEASE_04,-0.00075,0.0,synthetic_process_shear,PASS
M03,S_LOCATE_01,-0.00025,0.00016250000000000002,synthetic_process_shear,PASS
M03,S_CLAMP_02,-0.001,0.0006500000000000001,synthetic_process_shear,PASS
M03,S_JOIN_03,-0.002,0.0013000000000000002,synthetic_process_shear,PASS
M03,S_RELEASE_04,-0.00075,0.00048750000000000003,synthetic_process_shear,PASS
M04,S_LOCATE_01,0.0,-0.00016250000000000002,synthetic_process_shear,PASS
M04,S_CLAMP_02,0.0,-0.0006500000000000001,synthetic_process_shear,PASS
M04,S_JOIN_03,0.0,-0.0013000000000000002,synthetic_process_shear,PASS
M04,S_RELEASE_04,0.0,-0.00048750000000000003,synthetic_process_shear,PASS
M05,S_LOCATE_01,0.0,0.0,synthetic_process_shear,PASS
M05,S_CLAMP_02,0.0,0.0,synthetic_process_shear,PASS
M05,S_JOIN_03,0.0,0.0,synthetic_process_shear,PASS
M05,S_RELEASE_04,0.0,0.0,synthetic_process_shear,PASS
M06,S_LOCATE_01,0.0,0.00016250000000000002,synthetic_process_shear,PASS
M06,S_CLAMP_02,0.0,0.0006500000000000001,synthetic_process_shear,PASS
M06,S_JOIN_03,0.0,0.0013000000000000002,synthetic_process_shear,PASS
M06,S_RELEASE_04,0.0,0.00048750000000000003,synthetic_process_shear,PASS
M07,S_LOCATE_01,0.00025,-0.00016250000000000002,synthetic_process_shear,PASS
M07,S_CLAMP_02,0.001,-0.0006500000000000001,synthetic_process_shear,PASS
M07,S_JOIN_03,0.002,-0.0013000000000000002,synthetic_process_shear,PASS
M07,S_RELEASE_04,0.00075,-0.00048750000000000003,synthetic_process_shear,PASS
M08,S_LOCATE_01,0.00025,0.0,synthetic_process_shear,PASS
M08,S_CLAMP_02,0.001,0.0,synthetic_process_shear,PASS
M08,S_JOIN_03,0.002,0.0,synthetic_process_shear,PASS
M08,S_RELEASE_04,0.00075,0.0,synthetic_process_shear,PASS
M09,S_LOCATE_01,0.00025,0.00016250000000000002,synthetic_process_shear,PASS
M09,S_CLAMP_02,0.001,0.0006500000000000001,synthetic_process_shear,PASS
M09,S_JOIN_03,0.002,0.0013000000000000002,synthetic_process_shear,PASS
M09,S_RELEASE_04,0.00075,0.00048750000000000003,synthetic_process_shear,PASS
