interface_id,contact_domain_id,candidate_id,local_index,x_i0,y_i0,z_i0,x_j0,y_j0,z_j0,normal_nx,normal_ny,normal_nz,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,area_weight,candidate_flag,edge_or_interior_flag,correspondence_quality
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C001,0,0.0,-40.0,0.0,0.0,-40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C002,1,0.0,-20.0,0.0,0.0,-20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C003,2,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C004,3,0.0,20.0,0.0,0.0,20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C005,4,0.0,40.0,0.0,0.0,40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C006,5,100.0,-40.0,0.0,100.0,-40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C007,6,100.0,-20.0,0.0,100.0,-20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C008,7,100.0,0.0,0.0,100.0,0.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C009,8,100.0,20.0,0.0,100.0,20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C010,9,100.0,40.0,0.0,100.0,40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C011,10,200.0,-40.0,0.0,200.0,-40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C012,11,200.0,-20.0,0.0,200.0,-20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C013,12,200.0,0.0,0.0,200.0,0.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C014,13,200.0,20.0,0.0,200.0,20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C015,14,200.0,40.0,0.0,200.0,40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C016,15,300.0,-40.0,0.0,300.0,-40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C017,16,300.0,-20.0,0.0,300.0,-20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C018,17,300.0,0.0,0.0,300.0,0.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C019,18,300.0,20.0,0.0,300.0,20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,interior,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C020,19,300.0,40.0,0.0,300.0,40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C021,20,400.0,-40.0,0.0,400.0,-40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C022,21,400.0,-20.0,0.0,400.0,-20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C023,22,400.0,0.0,0.0,400.0,0.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C024,23,400.0,20.0,0.0,400.0,20.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
G_RIB03_PANEL_L,CD_G_RIB03_PANEL_L,C025,24,400.0,40.0,0.0,400.0,40.0,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1280.0,1,edge,PASS
