sample_id,part_id,point_or_node_id,x,y,z,dx,dy,dz,normal_deviation,unit,coord_system,support_state,sigma,quality_flag
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N001,0.0,-40.0,0.0,0.0,0.0,-0.01116720578999679,-0.01116720578999679,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N001,0.0,-40.0,0.045,0.0,0.0,-0.004785945338570053,-0.004785945338570053,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N002,0.0,-20.0,0.0,0.0,0.0,-0.015055138679337622,-0.015055138679337622,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N002,0.0,-20.0,0.045,0.0,0.0,-0.006452202291144696,-0.006452202291144696,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N003,0.0,0.0,0.0,0.0,0.0,-0.01607686395304722,-0.01607686395304722,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N003,0.0,0.0,0.045,0.0,0.0,-0.006890084551305953,-0.006890084551305953,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N004,0.0,20.0,0.0,0.0,0.0,-0.012255138679337625,-0.012255138679337625,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N004,0.0,20.0,0.045,0.0,0.0,-0.005252202291144697,-0.005252202291144697,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N005,0.0,40.0,0.0,0.0,0.0,-0.0055672057899967915,-0.0055672057899967915,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N005,0.0,40.0,0.045,0.0,0.0,-0.0023859453385700535,-0.0023859453385700535,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N006,100.0,-40.0,0.0,0.0,0.0,-0.01472585979633993,-0.01472585979633993,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N006,100.0,-40.0,0.045,0.0,0.0,-0.006311082769859971,-0.006311082769859971,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N007,100.0,-20.0,0.0,0.0,0.0,-0.026171460253507323,-0.026171460253507323,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N007,100.0,-20.0,0.045,0.0,0.0,-0.011216340108645995,-0.011216340108645995,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N008,100.0,0.0,0.0,0.0,0.0,-0.030654385762226427,-0.030654385762226427,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N008,100.0,0.0,0.045,0.0,0.0,-0.01313759389809704,-0.01313759389809704,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N009,100.0,20.0,0.0,0.0,0.0,-0.02337146025350732,-0.02337146025350732,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N009,100.0,20.0,0.045,0.0,0.0,-0.010016340108645995,-0.010016340108645995,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N010,100.0,40.0,0.0,0.0,0.0,-0.009125859796339932,-0.009125859796339932,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N010,100.0,40.0,0.045,0.0,0.0,-0.003911082769859971,-0.003911082769859971,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N011,200.0,-40.0,0.0,0.0,0.0,-0.03012363135358686,-0.03012363135358686,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N011,200.0,-40.0,0.045,0.0,0.0,-0.012910127722965797,-0.012910127722965797,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N012,200.0,-20.0,0.0,0.0,0.0,-0.045991705369836405,-0.045991705369836405,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N012,200.0,-20.0,0.045,0.0,0.0,-0.01971073087278703,-0.01971073087278703,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N013,200.0,0.0,0.0,0.0,0.0,-0.0525,-0.0525,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N013,200.0,0.0,0.045,0.0,0.0,-0.0225,-0.0225,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N014,200.0,20.0,0.0,0.0,0.0,-0.0431917053698364,-0.0431917053698364,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N014,200.0,20.0,0.045,0.0,0.0,-0.01851073087278703,-0.01851073087278703,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N015,200.0,40.0,0.0,0.0,0.0,-0.024523631353586855,-0.024523631353586855,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N015,200.0,40.0,0.045,0.0,0.0,-0.010510127722965794,-0.010510127722965794,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N016,300.0,-40.0,0.0,0.0,0.0,-0.03152585979633993,-0.03152585979633993,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N016,300.0,-40.0,0.045,0.0,0.0,-0.01351108276985997,-0.01351108276985997,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N017,300.0,-20.0,0.0,0.0,0.0,-0.04297146025350733,-0.04297146025350733,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N017,300.0,-20.0,0.045,0.0,0.0,-0.018416340108645998,-0.018416340108645998,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N018,300.0,0.0,0.0,0.0,0.0,-0.04745438576222643,-0.04745438576222643,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N018,300.0,0.0,0.045,0.0,0.0,-0.020337593898097042,-0.020337593898097042,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N019,300.0,20.0,0.0,0.0,0.0,-0.040171460253507325,-0.040171460253507325,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N019,300.0,20.0,0.045,0.0,0.0,-0.017216340108645995,-0.017216340108645995,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N020,300.0,40.0,0.0,0.0,0.0,-0.025925859796339927,-0.025925859796339927,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N020,300.0,40.0,0.045,0.0,0.0,-0.011111082769859969,-0.011111082769859969,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
