object_name,file_path,group,row_mode
AssemblyTopology,I0/assembly_topology.csv,I0,default
Interface,I0/interface.csv,I0,default
LocalRegionDefinition,I0/local_region_definition.csv,I0,default
Material,I0/material.csv,I0,default
NominalModel,I0/nominal_model.csv,I0,default
Part,I0/part.csv,I0,default
SMSPrior,I0/sms_prior.csv,I0,default
AreaWeightMatrix,I_Gamma/area_weight_matrix.csv,I_Gamma,default
ContactDomain,I_Gamma/contact_domain.csv,I_Gamma,default
ContactPoint,I_Gamma/contact_point.csv,I_Gamma,default
ExtendedContactDomain,I_Gamma/extended_contact_domain.csv,I_Gamma,default
ExtendedGapAndCompliance,I_Gamma/extended_gap_and_compliance.csv,I_Gamma,default
GapField,I_Gamma/gap_field.csv,I_Gamma,default
FeatureMapping,I_key/feature_mapping.csv,I_key,default
KCMDefinition,I_key/kcm_definition.csv,I_key,default
KCPDefinition,I_key/kcp_definition.csv,I_key,default
DataSplit,I_meas/data_split.csv,I_meas,default
FixtureCalibration,I_meas/fixture_calibration.csv,I_meas,default
InterfaceTestSetup,I_meas/interface_test_setup.csv,I_meas,default
InterfaceTestSpecimen,I_meas/interface_test_specimen.csv,I_meas,default
LoadingPath,I_meas/loading_path.csv,I_meas,default
MeasurementPackage,I_meas/measurement_package.csv,I_meas,default
MeasurementRecord,I_meas/measurement_record.csv,I_meas,default
MeasurementStateCompensationResult,I_meas/measurement_state_compensation_result.csv,I_meas,default
MeasurementStateSnapshot,I_meas/measurement_state_snapshot.csv,I_meas,default
SensorCalibration,I_meas/sensor_calibration.csv,I_meas,default
BoundaryInheritanceRecord,I_red/boundary_inheritance_record.csv,I_red,default
CacheInvalidationRule,I_red/cache_invalidation_rule.csv,I_red,default
CondensedOperator,I_red/condensed_operator.csv,I_red,default
DOFPartition,I_red/dof_partition.csv,I_red,default
FactorizationCache,I_red/factorization_cache.csv,I_red,default
LocalModelValidationResult,I_red/local_model_validation_result.csv,I_red,default
LocalSubmodelExtraction,I_red/local_submodel_extraction.csv,I_red,default
BoundaryItem,I_stage/boundary_item.csv,I_stage,default
ConnectionLockHistory,I_stage/connection_lock_history.csv,I_stage,default
LoadItem,I_stage/load_item.csv,I_stage,default
LocatorCompliance,I_stage/locator_compliance.csv,I_stage,default
LocatorElement,I_stage/locator_element.csv,I_stage,default
OverConstraintLocatorGroup,I_stage/overconstraint_locator_group.csv,I_stage,default
ReducedForceVector,I_stage/reduced_force_vector.csv,I_stage,default
ReleaseHistoryRecord,I_stage/release_history_record.csv,I_stage,default
StageIncrement,I_stage/stage_increment.csv,I_stage,default
StageInput,I_stage/stage_input.csv,I_stage,default
StageParameterSnapshot,I_stage/stage_parameter_snapshot.csv,I_stage,default
StagePosteriorPackage,I_stage/stage_posterior_package.csv,I_stage,default
StageStateSnapshot,I_stage/stage_state_snapshot.csv,I_stage,default
StageTransitionRecord,I_stage/stage_transition_record.csv,I_stage,default
MonteCarloConfig,I_stat/monte_carlo_config.csv,I_stat,default
RandomSample,I_stat/random_sample.csv,I_stat,default
SensitivityResult,I_stat/sensitivity_result.csv,I_stat,default
StatisticalPredictionResult,I_stat/statistical_prediction_result.csv,I_stat,default
ComplianceSeparationReport,parameter_library/compliance_separation_report.csv,parameter_library,default
DeformationDecompositionResult,parameter_library/deformation_decomposition_result.csv,parameter_library,default
InterfaceParameter,parameter_library/interface_parameter.csv,parameter_library,default
LocalResponseData,parameter_library/local_response_data.csv,parameter_library,default
ParameterEstimate,parameter_library/parameter_estimate.csv,parameter_library,default
ParameterLibrary,parameter_library/parameter_library.csv,parameter_library,default
ValidityDomain,parameter_library/validity_domain.csv,parameter_library,default
ContributionRecord,prediction/contribution_record.csv,prediction,default
DeformationContributionLedger,prediction/deformation_contribution_ledger.csv,prediction,default
DoubleCountCheckResult,prediction/double_count_check_result.csv,prediction,default
EquivalentErrorItem,prediction/equivalent_error_item.csv,prediction,default
JTTransferModel,prediction/jt_transfer_model.csv,prediction,default
KCPPredictionResult,prediction/kcp_prediction_result.csv,prediction,default
SMSBasis,sms_update/sms_basis.csv,sms_update,default
SMSField,sms_update/sms_field.csv,sms_update,default
SMSPointCloudMapping,sms_update/sms_pointcloud_mapping.csv,sms_update,default
SMSUpdateConfig,sms_update/sms_update_config.csv,sms_update,default
SMSUpdateResult,sms_update/sms_update_result.csv,sms_update,default
SMSUpdateTransferPackage,sms_update/sms_update_transfer_package.csv,sms_update,default
ActiveSetStabilityTrace,solver/active_set_stability_trace.csv,solver,default
ComplementaritySolverConfig,solver/complementarity_solver_config.csv,solver,default
ContactComputationTrace,solver/contact_computation_trace.csv,solver,default
ContactMode,solver/contact_mode.csv,solver,default
ExtendedLCPSolution,solver/extended_lcp_solution.csv,solver,default
ForceNonuniquenessReport,solver/force_nonuniqueness_report.csv,solver,default
InterfaceLCPModel,solver/interface_lcp_model.csv,solver,default
LCPRegularizationConfig,solver/lcp_regularization_config.csv,solver,default
LCPSolution,solver/lcp_solution.csv,solver,default
OverConstraintContactModel,solver/overconstraint_contact_model.csv,solver,default
CheckItem,validation/check_item.csv,validation,default
ModelVersionRelease,validation/model_version_release.csv,validation,default
QualityGate,validation/quality_gate.csv,validation,default
RunLog,validation/run_log.csv,validation,default
ValidationResult,validation/validation_result.csv,validation,default
