membership_id,subassembly_id,part_id,added_at_step,removed_at_step_optional,membership_role,metadata
MEM_ASM_A_P_PANEL_A,ASM_A,P_PANEL_A,1,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_AB_P_PANEL_A,ASM_AB,P_PANEL_A,2,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_AB_P_RIB_B,ASM_AB,P_RIB_B,2,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABC_P_PANEL_A,ASM_ABC,P_PANEL_A,3,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABC_P_RIB_B,ASM_ABC,P_RIB_B,3,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABC_P_SPAR_C,ASM_ABC,P_SPAR_C,3,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABCD_P_PANEL_A,ASM_ABCD,P_PANEL_A,4,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABCD_P_RIB_B,ASM_ABCD,P_RIB_B,4,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABCD_P_SPAR_C,ASM_ABCD,P_SPAR_C,4,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
MEM_ASM_ABCD_P_BRACKET_D,ASM_ABCD,P_BRACKET_D,4,,MEMBER,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
