point_id,contact_domain_id,local_index,x_i0,x_j0,normal_n,tangent_basis_T,area_weight,local_coordinate_system_id,candidate_flag,edge_or_interior_flag,correspondence_quality,metadata
CP_AB_01,CD_PANEL_RIB,0,"[0.0,0.0,0.0]","[0.0,0.0,0.08]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1200.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_AB_02,CD_PANEL_RIB,1,"[50.0,0.0,0.0]","[50.0,0.0,0.04]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1000.0,CS_ASSEMBLY,TRUE,INTERIOR,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_AB_03,CD_PANEL_RIB,2,"[100.0,0.0,0.0]","[100.0,0.0,0.06]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",800.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BC_01,CD_RIB_SPAR,0,"[0.0,25.0,0.0]","[0.0,25.0,0.05]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1200.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BC_02,CD_RIB_SPAR,1,"[50.0,25.0,0.0]","[50.0,25.0,0.03]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1000.0,CS_ASSEMBLY,TRUE,INTERIOR,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BC_03,CD_RIB_SPAR,2,"[100.0,25.0,0.0]","[100.0,25.0,0.04]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",800.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_AD_01,CD_PANEL_BRACKET,0,"[0.0,50.0,0.0]","[0.0,50.0,0.1]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1200.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_AD_02,CD_PANEL_BRACKET,1,"[50.0,50.0,0.0]","[50.0,50.0,0.07]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1000.0,CS_ASSEMBLY,TRUE,INTERIOR,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_AD_03,CD_PANEL_BRACKET,2,"[100.0,50.0,0.0]","[100.0,50.0,0.09]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",800.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BD_01,CD_RIB_BRACKET,0,"[0.0,75.0,0.0]","[0.0,75.0,0.09]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1200.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BD_02,CD_RIB_BRACKET,1,"[50.0,75.0,0.0]","[50.0,75.0,0.06]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",1000.0,CS_ASSEMBLY,TRUE,INTERIOR,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
CP_BD_03,CD_RIB_BRACKET,2,"[100.0,75.0,0.0]","[100.0,75.0,0.08]","[0.0,0.0,1.0]","[[1,0,0],[0,1,0]]",800.0,CS_ASSEMBLY,TRUE,EDGE,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
