file_path,object_name,field_name,default_value_in_default_min_case
I0/assembly_topology.csv,AssemblyTopology,topology_step_id,TOPSTEP_001
I0/assembly_topology.csv,AssemblyTopology,topology_id,TOPO_MULTIPART
I0/assembly_topology.csv,AssemblyTopology,assembly_step,1
I0/assembly_topology.csv,AssemblyTopology,stage_id,S_LOCATE_01
I0/assembly_topology.csv,AssemblyTopology,part_in,P_PANEL_A
I0/assembly_topology.csv,AssemblyTopology,existing_subassembly,
I0/assembly_topology.csv,AssemblyTopology,result_subassembly,ASM_A
I0/assembly_topology.csv,AssemblyTopology,activated_interface_ids,
I0/assembly_topology.csv,AssemblyTopology,operation_type,BASE
I0/assembly_topology.csv,AssemblyTopology,predecessor_step_id,
I0/assembly_topology.csv,AssemblyTopology,successor_step_id,TOPSTEP_002
I0/assembly_topology.csv,AssemblyTopology,connection_pattern,BASE
I0/assembly_topology.csv,AssemblyTopology,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/interface.csv,Interface,interface_id,G_PANEL_RIB
I0/interface.csv,Interface,interface_name,PANEL_A_TO_RIB_B
I0/interface.csv,Interface,part_i,P_PANEL_A
I0/interface.csv,Interface,part_j,P_RIB_B
I0/interface.csv,Interface,side_i_region_id,REG_PANEL_AB
I0/interface.csv,Interface,side_j_region_id,REG_RIB_AB
I0/interface.csv,Interface,material_pair,CFRP-CFRP
I0/interface.csv,Interface,nominal_gap,0.06
I0/interface.csv,Interface,contact_candidate_flag,TRUE
I0/interface.csv,Interface,key_contact_flag,TRUE
I0/interface.csv,Interface,coordinate_system_id,CS_ASSEMBLY
I0/interface.csv,Interface,metadata,"{""connection_pattern"":""SERIAL_SEED_AND_DIRECT_PARALLEL_PATH"",""data_nature"":""SYNTHETIC""}"
I0/joint_definition.csv,JointDefinition,joint_id,JNT_PANEL_RIB
I0/joint_definition.csv,JointDefinition,interface_id,G_PANEL_RIB
I0/joint_definition.csv,JointDefinition,part_i,P_PANEL_A
I0/joint_definition.csv,JointDefinition,part_j,P_RIB_B
I0/joint_definition.csv,JointDefinition,joint_type,FINITE_STIFFNESS_LOCK
I0/joint_definition.csv,JointDefinition,constrained_dofs,NORMAL
I0/joint_definition.csv,JointDefinition,stiffness_matrix_id,KJ_JNT_PANEL_RIB
I0/joint_definition.csv,JointDefinition,preload_definition_id,PRELOAD_JNT_PANEL_RIB
I0/joint_definition.csv,JointDefinition,activation_stage_id,S_JOIN_03
I0/joint_definition.csv,JointDefinition,retention_rule,RETAIN_THROUGH_RELEASE
I0/joint_definition.csv,JointDefinition,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/local_region_definition.csv,LocalRegionDefinition,local_region_id,LR_AB
I0/local_region_definition.csv,LocalRegionDefinition,interface_id,G_PANEL_RIB
I0/local_region_definition.csv,LocalRegionDefinition,included_geometry_regions,REG_AB_I;REG_AB_J
I0/local_region_definition.csv,LocalRegionDefinition,candidate_contact_region_ids,CD_PANEL_RIB
I0/local_region_definition.csv,LocalRegionDefinition,kcp_sensitive_region_ids,KCP_ZONE_MULTIPART
I0/local_region_definition.csv,LocalRegionDefinition,margin_rule,fixed_synthetic_margin
I0/local_region_definition.csv,LocalRegionDefinition,margin_distance,10.0
I0/local_region_definition.csv,LocalRegionDefinition,cut_boundary_definition,CUT_AB
I0/local_region_definition.csv,LocalRegionDefinition,selection_rationale,cover three-point contact block and KCP transfer support
I0/local_region_definition.csv,LocalRegionDefinition,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/material.csv,Material,material_id,MAT_CFRP_DEFAULT
I0/material.csv,Material,material_name,SYNTHETIC_CFRP
I0/material.csv,Material,material_type,CFRP
I0/material.csv,Material,E,70000
I0/material.csv,Material,nu,0.30
I0/material.csv,Material,G,27000
I0/material.csv,Material,density,1.60e-9
I0/material.csv,Material,orthotropic_constants,{}
I0/material.csv,Material,temperature_range,"[20,20]"
I0/material.csv,Material,source,SYNTHETIC_FIXTURE
I0/material.csv,Material,quality_flag,PASS
I0/material.csv,Material,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/nominal_model.csv,NominalModel,nominal_model_id,NM_MULTIPART
I0/nominal_model.csv,NominalModel,model_name,SYNTHETIC_FOUR_PART_ASSEMBLY
I0/nominal_model.csv,NominalModel,cad_reference,SYNTHETIC_NOT_PROVIDED
I0/nominal_model.csv,NominalModel,mesh_reference,SYNTHETIC_REDUCED_MODEL
I0/nominal_model.csv,NominalModel,coordinate_system_id,CS_ASSEMBLY
I0/nominal_model.csv,NominalModel,revision_id,MULTIPART_2026_07
I0/nominal_model.csv,NominalModel,definition_source,SYNTHETIC_NUMERICAL_FIXTURE
I0/nominal_model.csv,NominalModel,quality_flag,PASS
I0/nominal_model.csv,NominalModel,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/part.csv,Part,part_id,P_PANEL_A
I0/part.csv,Part,part_name,FLEXIBLE_PANEL_A
I0/part.csv,Part,material_type,CFRP
I0/part.csv,Part,role_in_assembly,shared_flexible_base
I0/part.csv,Part,nominal_model_id,NM_MULTIPART
I0/part.csv,Part,sms_prior_id,SMS_PRIOR_PANEL
I0/part.csv,Part,material_id,MAT_CFRP_DEFAULT
I0/part.csv,Part,thickness_definition_id,THK_PANEL
I0/part.csv,Part,layup_id_optional,LAYUP_PANEL
I0/part.csv,Part,local_coordinate_system_id,CS_ASSEMBLY
I0/part.csv,Part,mesh_or_point_set_id,MESH_PANEL
I0/part.csv,Part,key_interface_ids,G_PANEL_RIB;G_PANEL_BRACKET
I0/part.csv,Part,related_kcm_ids,KCM_PANEL_PROFILE
I0/part.csv,Part,related_kcp_ids,KCP_END_GAP;KCP_STEP_AB;KCP_PARALLEL_BALANCE
I0/part.csv,Part,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/sms_prior.csv,SmsPrior,sms_prior_id,SMS_PRIOR_PANEL
I0/sms_prior.csv,SmsPrior,part_id,P_PANEL_A
I0/sms_prior.csv,SmsPrior,prior_type,synthetic_zero_mean
I0/sms_prior.csv,SmsPrior,basis_id,SMS_BASIS_PANEL
I0/sms_prior.csv,SmsPrior,alpha_mean,[0.0]
I0/sms_prior.csv,SmsPrior,alpha_covariance_id,COV_SMS_PANEL
I0/sms_prior.csv,SmsPrior,source_sample_ids,SYNTHETIC_SEED
I0/sms_prior.csv,SmsPrior,valid_region,FIXTURE_ONLY
I0/sms_prior.csv,SmsPrior,quality_flag,PASS
I0/sms_prior.csv,SmsPrior,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/stage_definition.csv,StageDefinition,stage_id,S_LOCATE_01
I0/stage_definition.csv,StageDefinition,stage_order,1
I0/stage_definition.csv,StageDefinition,stage_type,LOCATE
I0/stage_definition.csv,StageDefinition,subassembly_id,ASM_ABCD
I0/stage_definition.csv,StageDefinition,active_part_ids,P_PANEL_A;P_RIB_B;P_SPAR_C;P_BRACKET_D
I0/stage_definition.csv,StageDefinition,active_interface_ids,G_PANEL_RIB;G_RIB_SPAR;G_PANEL_BRACKET;G_RIB_BRACKET
I0/stage_definition.csv,StageDefinition,predecessor_stage_id,
I0/stage_definition.csv,StageDefinition,successor_stage_id,S_CLAMP_02
I0/stage_definition.csv,StageDefinition,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/subassembly.csv,Subassembly,subassembly_id,ASM_A
I0/subassembly.csv,Subassembly,parent_subassembly_id,
I0/subassembly.csv,Subassembly,assembly_step,1
I0/subassembly.csv,Subassembly,member_part_ids,P_PANEL_A
I0/subassembly.csv,Subassembly,active_interface_ids,
I0/subassembly.csv,Subassembly,active_joint_ids,
I0/subassembly.csv,Subassembly,reference_state_id,REF_NOMINAL
I0/subassembly.csv,Subassembly,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I0/subassembly_membership.csv,SubassemblyMembership,membership_id,MEM_ASM_A_P_PANEL_A
I0/subassembly_membership.csv,SubassemblyMembership,subassembly_id,ASM_A
I0/subassembly_membership.csv,SubassemblyMembership,part_id,P_PANEL_A
I0/subassembly_membership.csv,SubassemblyMembership,added_at_step,1
I0/subassembly_membership.csv,SubassemblyMembership,removed_at_step_optional,
I0/subassembly_membership.csv,SubassemblyMembership,membership_role,MEMBER
I0/subassembly_membership.csv,SubassemblyMembership,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,area_weight_matrix_id,QA_AB
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,contact_domain_id,CD_PANEL_RIB
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,matrix_id,QA_AB_MATRIX
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,candidate_point_ids,CP_AB_01;CP_AB_02;CP_AB_03
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,area_values,"[1200.0,1000.0,800.0]"
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,unit,mm^2
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,area_sum,3000.0
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,quality_flag,PASS
I_Gamma/area_weight_matrix.csv,AreaWeightMatrix,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I_Gamma/contact_domain.csv,ContactDomain,contact_domain_id,CD_PANEL_RIB
I_Gamma/contact_domain.csv,ContactDomain,interface_id,G_PANEL_RIB
I_Gamma/contact_domain.csv,ContactDomain,side_i_region_id,REG_PANEL_AB
I_Gamma/contact_domain.csv,ContactDomain,side_j_region_id,REG_RIB_AB
I_Gamma/contact_domain.csv,ContactDomain,contact_point_ids,CP_AB_01;CP_AB_02;CP_AB_03
I_Gamma/contact_domain.csv,ContactDomain,correspondence_method,nominal_fixed_synthetic
I_Gamma/contact_domain.csv,ContactDomain,normal_definition_method,side_i_nominal_normal
I_Gamma/contact_domain.csv,ContactDomain,tangent_definition_method,orthonormal_from_normal
I_Gamma/contact_domain.csv,ContactDomain,area_weight_matrix_id,QA_AB
I_Gamma/contact_domain.csv,ContactDomain,G_gap_mapping_id,G_GAP_AB
I_Gamma/contact_domain.csv,ContactDomain,Bn_mapping_id,BN_AB
I_Gamma/contact_domain.csv,ContactDomain,Bt_mapping_id_optional,
I_Gamma/contact_domain.csv,ContactDomain,nominal_gap_field_id,GF_INITIAL_AB
I_Gamma/contact_domain.csv,ContactDomain,initial_contact_parameter_id,IPAR_AB
I_Gamma/contact_domain.csv,ContactDomain,candidate_region_margin,5.0
I_Gamma/contact_domain.csv,ContactDomain,density_level,minimal_3pt
I_Gamma/contact_domain.csv,ContactDomain,validity_region,FIXTURE_ONLY
I_Gamma/contact_domain.csv,ContactDomain,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
I_Gamma/contact_point.csv,ContactPoint,point_id,CP_AB_01
I_Gamma/contact_point.csv,ContactPoint,contact_domain_id,CD_PANEL_RIB
I_Gamma/contact_point.csv,ContactPoint,local_index,0
I_Gamma/contact_point.csv,ContactPoint,x_i0,"[0.0,0.0,0.0]"
I_Gamma/contact_point.csv,ContactPoint,x_j0,"[0.0,0.0,0.08]"
I_Gamma/contact_point.csv,ContactPoint,normal_n,"[0.0,0.0,1.0]"
I_Gamma/contact_point.csv,ContactPoint,tangent_basis_T,"[[1,0,0],[0,1,0]]"
I_Gamma/contact_point.csv,ContactPoint,area_weight,1200.0
I_Gamma/contact_point.csv,ContactPoint,local_coordinate_system_id,CS_ASSEMBLY
I_Gamma/contact_point.csv,ContactPoint,candidate_flag,TRUE
I_Gamma/contact_point.csv,ContactPoint,edge_or_interior_flag,EDGE
I_Gamma/contact_point.csv,ContactPoint,correspondence_quality,PASS
I_Gamma/contact_point.csv,ContactPoint,metadata,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
