trace_id,sample_id,stage_id,contact_domain_id,sms_transfer_package_ids,gap_field_id,stage_input_id,condensed_operator_id,q_vector_id,W_struct_id,Cn_local_id,W_total_id,lcp_solution_id,pressure_field_id,local_compression_field_id,cache_ids_used,double_count_check_id,quality_flag,metadata
TRACE_1_S_LOCATE_01,SAMPLE_001,S_LOCATE_01,CD_PANEL_RIB,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_AB,STAGE_INPUT_S_LOCATE_01,COND_S_LOCATE_01,Q_LOCATE_01,W_STRUCT_LOCATE_01,CN_ALL,W_TOTAL_LOCATE_01,LCP_SOL_S_LOCATE_01,PRESSURE_LOCATE_01,LOCAL_COMPRESSION_LOCATE_01,FACT_S_LOCATE_01,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_2_S_LOCATE_01,SAMPLE_001,S_LOCATE_01,CD_RIB_SPAR,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_BC,STAGE_INPUT_S_LOCATE_01,COND_S_LOCATE_01,Q_LOCATE_01,W_STRUCT_LOCATE_01,CN_ALL,W_TOTAL_LOCATE_01,LCP_SOL_S_LOCATE_01,PRESSURE_LOCATE_01,LOCAL_COMPRESSION_LOCATE_01,FACT_S_LOCATE_01,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_3_S_LOCATE_01,SAMPLE_001,S_LOCATE_01,CD_PANEL_BRACKET,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_AD,STAGE_INPUT_S_LOCATE_01,COND_S_LOCATE_01,Q_LOCATE_01,W_STRUCT_LOCATE_01,CN_ALL,W_TOTAL_LOCATE_01,LCP_SOL_S_LOCATE_01,PRESSURE_LOCATE_01,LOCAL_COMPRESSION_LOCATE_01,FACT_S_LOCATE_01,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_4_S_LOCATE_01,SAMPLE_001,S_LOCATE_01,CD_RIB_BRACKET,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_BD,STAGE_INPUT_S_LOCATE_01,COND_S_LOCATE_01,Q_LOCATE_01,W_STRUCT_LOCATE_01,CN_ALL,W_TOTAL_LOCATE_01,LCP_SOL_S_LOCATE_01,PRESSURE_LOCATE_01,LOCAL_COMPRESSION_LOCATE_01,FACT_S_LOCATE_01,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_1_S_CLAMP_02,SAMPLE_001,S_CLAMP_02,CD_PANEL_RIB,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_AB,STAGE_INPUT_S_CLAMP_02,COND_S_CLAMP_02,Q_CLAMP_02,W_STRUCT_CLAMP_02,CN_ALL,W_TOTAL_CLAMP_02,LCP_SOL_S_CLAMP_02,PRESSURE_CLAMP_02,LOCAL_COMPRESSION_CLAMP_02,FACT_S_CLAMP_02,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_2_S_CLAMP_02,SAMPLE_001,S_CLAMP_02,CD_RIB_SPAR,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_BC,STAGE_INPUT_S_CLAMP_02,COND_S_CLAMP_02,Q_CLAMP_02,W_STRUCT_CLAMP_02,CN_ALL,W_TOTAL_CLAMP_02,LCP_SOL_S_CLAMP_02,PRESSURE_CLAMP_02,LOCAL_COMPRESSION_CLAMP_02,FACT_S_CLAMP_02,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_3_S_CLAMP_02,SAMPLE_001,S_CLAMP_02,CD_PANEL_BRACKET,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_AD,STAGE_INPUT_S_CLAMP_02,COND_S_CLAMP_02,Q_CLAMP_02,W_STRUCT_CLAMP_02,CN_ALL,W_TOTAL_CLAMP_02,LCP_SOL_S_CLAMP_02,PRESSURE_CLAMP_02,LOCAL_COMPRESSION_CLAMP_02,FACT_S_CLAMP_02,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_4_S_CLAMP_02,SAMPLE_001,S_CLAMP_02,CD_RIB_BRACKET,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_BD,STAGE_INPUT_S_CLAMP_02,COND_S_CLAMP_02,Q_CLAMP_02,W_STRUCT_CLAMP_02,CN_ALL,W_TOTAL_CLAMP_02,LCP_SOL_S_CLAMP_02,PRESSURE_CLAMP_02,LOCAL_COMPRESSION_CLAMP_02,FACT_S_CLAMP_02,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_1_S_JOIN_03,SAMPLE_001,S_JOIN_03,CD_PANEL_RIB,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_AB,STAGE_INPUT_S_JOIN_03,COND_S_JOIN_03,Q_JOIN_03,W_STRUCT_JOIN_03,CN_ALL,W_TOTAL_JOIN_03,LCP_SOL_S_JOIN_03,PRESSURE_JOIN_03,LOCAL_COMPRESSION_JOIN_03,FACT_S_JOIN_03,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
TRACE_2_S_JOIN_03,SAMPLE_001,S_JOIN_03,CD_RIB_SPAR,SMS_TRANSFER_PANEL;SMS_TRANSFER_RIB;SMS_TRANSFER_SPAR;SMS_TRANSFER_BRACKET,GF_INITIAL_BC,STAGE_INPUT_S_JOIN_03,COND_S_JOIN_03,Q_JOIN_03,W_STRUCT_JOIN_03,CN_ALL,W_TOTAL_JOIN_03,LCP_SOL_S_JOIN_03,PRESSURE_JOIN_03,LOCAL_COMPRESSION_JOIN_03,FACT_S_JOIN_03,DCC_MULTIPART,PASS,"{""data_nature"":""SYNTHETIC_NUMERICAL_CONSISTENCY_CASE"",""engineering_claim_allowed"":false,""schema_version"":""V2.5"",""schema_revision"":""MULTI_PART_SERIAL_PARALLEL_2026-07""}"
