candidate_id,stage_id,t1_free_mm,t2_free_mm,source,quality_flag
C001,S_LOCATE_01,-0.00025,-0.00016250000000000002,synthetic_process_shear,PASS
C001,S_CLAMP_02,-0.001,-0.0006500000000000001,synthetic_process_shear,PASS
C001,S_JOIN_03,-0.002,-0.0013000000000000002,synthetic_process_shear,PASS
C001,S_RELEASE_04,-0.00075,-0.00048750000000000003,synthetic_process_shear,PASS
C002,S_LOCATE_01,-0.00025,-8.125000000000001e-05,synthetic_process_shear,PASS
C002,S_CLAMP_02,-0.001,-0.00032500000000000004,synthetic_process_shear,PASS
C002,S_JOIN_03,-0.002,-0.0006500000000000001,synthetic_process_shear,PASS
C002,S_RELEASE_04,-0.00075,-0.00024375000000000002,synthetic_process_shear,PASS
C003,S_LOCATE_01,-0.00025,0.0,synthetic_process_shear,PASS
C003,S_CLAMP_02,-0.001,0.0,synthetic_process_shear,PASS
C003,S_JOIN_03,-0.002,0.0,synthetic_process_shear,PASS
C003,S_RELEASE_04,-0.00075,0.0,synthetic_process_shear,PASS
C004,S_LOCATE_01,-0.00025,8.125000000000001e-05,synthetic_process_shear,PASS
C004,S_CLAMP_02,-0.001,0.00032500000000000004,synthetic_process_shear,PASS
C004,S_JOIN_03,-0.002,0.0006500000000000001,synthetic_process_shear,PASS
C004,S_RELEASE_04,-0.00075,0.00024375000000000002,synthetic_process_shear,PASS
C005,S_LOCATE_01,-0.00025,0.00016250000000000002,synthetic_process_shear,PASS
C005,S_CLAMP_02,-0.001,0.0006500000000000001,synthetic_process_shear,PASS
C005,S_JOIN_03,-0.002,0.0013000000000000002,synthetic_process_shear,PASS
C005,S_RELEASE_04,-0.00075,0.00048750000000000003,synthetic_process_shear,PASS
C006,S_LOCATE_01,-0.000125,-0.00016250000000000002,synthetic_process_shear,PASS
C006,S_CLAMP_02,-0.0005,-0.0006500000000000001,synthetic_process_shear,PASS
C006,S_JOIN_03,-0.001,-0.0013000000000000002,synthetic_process_shear,PASS
C006,S_RELEASE_04,-0.000375,-0.00048750000000000003,synthetic_process_shear,PASS
C007,S_LOCATE_01,-0.000125,-8.125000000000001e-05,synthetic_process_shear,PASS
C007,S_CLAMP_02,-0.0005,-0.00032500000000000004,synthetic_process_shear,PASS
C007,S_JOIN_03,-0.001,-0.0006500000000000001,synthetic_process_shear,PASS
C007,S_RELEASE_04,-0.000375,-0.00024375000000000002,synthetic_process_shear,PASS
C008,S_LOCATE_01,-0.000125,0.0,synthetic_process_shear,PASS
C008,S_CLAMP_02,-0.0005,0.0,synthetic_process_shear,PASS
C008,S_JOIN_03,-0.001,0.0,synthetic_process_shear,PASS
C008,S_RELEASE_04,-0.000375,0.0,synthetic_process_shear,PASS
C009,S_LOCATE_01,-0.000125,8.125000000000001e-05,synthetic_process_shear,PASS
C009,S_CLAMP_02,-0.0005,0.00032500000000000004,synthetic_process_shear,PASS
C009,S_JOIN_03,-0.001,0.0006500000000000001,synthetic_process_shear,PASS
C009,S_RELEASE_04,-0.000375,0.00024375000000000002,synthetic_process_shear,PASS
C010,S_LOCATE_01,-0.000125,0.00016250000000000002,synthetic_process_shear,PASS
C010,S_CLAMP_02,-0.0005,0.0006500000000000001,synthetic_process_shear,PASS
C010,S_JOIN_03,-0.001,0.0013000000000000002,synthetic_process_shear,PASS
C010,S_RELEASE_04,-0.000375,0.00048750000000000003,synthetic_process_shear,PASS
C011,S_LOCATE_01,0.0,-0.00016250000000000002,synthetic_process_shear,PASS
C011,S_CLAMP_02,0.0,-0.0006500000000000001,synthetic_process_shear,PASS
C011,S_JOIN_03,0.0,-0.0013000000000000002,synthetic_process_shear,PASS
C011,S_RELEASE_04,0.0,-0.00048750000000000003,synthetic_process_shear,PASS
C012,S_LOCATE_01,0.0,-8.125000000000001e-05,synthetic_process_shear,PASS
C012,S_CLAMP_02,0.0,-0.00032500000000000004,synthetic_process_shear,PASS
C012,S_JOIN_03,0.0,-0.0006500000000000001,synthetic_process_shear,PASS
C012,S_RELEASE_04,0.0,-0.00024375000000000002,synthetic_process_shear,PASS
