candidate_id,zone_id,C_partition_mm_per_N,Ct_mm_per_N,mu,beta_r,quality_flag
C001,edge,4e-05,1.5e-05,0.28,0.3,PASS
C002,edge,4e-05,1.5e-05,0.28,0.3,PASS
C003,edge,4e-05,1.5e-05,0.28,0.3,PASS
C004,edge,4e-05,1.5e-05,0.28,0.3,PASS
C005,edge,4e-05,1.5e-05,0.28,0.3,PASS
C006,edge,4e-05,1.5e-05,0.28,0.3,PASS
C007,center,2.5e-05,1e-05,0.32,0.36,PASS
C008,center,2.5e-05,1e-05,0.32,0.36,PASS
C009,center,2.5e-05,1e-05,0.32,0.36,PASS
C010,edge,4e-05,1.5e-05,0.28,0.3,PASS
C011,edge,4e-05,1.5e-05,0.28,0.3,PASS
C012,center,2.5e-05,1e-05,0.32,0.36,PASS
C013,center,2.5e-05,1e-05,0.32,0.36,PASS
C014,center,2.5e-05,1e-05,0.32,0.36,PASS
C015,edge,4e-05,1.5e-05,0.28,0.3,PASS
C016,edge,4e-05,1.5e-05,0.28,0.3,PASS
C017,center,2.5e-05,1e-05,0.32,0.36,PASS
C018,center,2.5e-05,1e-05,0.32,0.36,PASS
C019,center,2.5e-05,1e-05,0.32,0.36,PASS
C020,edge,4e-05,1.5e-05,0.28,0.3,PASS
C021,edge,4e-05,1.5e-05,0.28,0.3,PASS
C022,edge,4e-05,1.5e-05,0.28,0.3,PASS
C023,edge,4e-05,1.5e-05,0.28,0.3,PASS
C024,edge,4e-05,1.5e-05,0.28,0.3,PASS
C025,edge,4e-05,1.5e-05,0.28,0.3,PASS
