candidate_id,zone_id,release_rebound_mm,beta_r,active,quality_flag
C001,edge,0.002275,0.7,1,PASS
C002,edge,0.0028875,0.7,1,PASS
C003,edge,0.0035,0.7,1,PASS
C004,edge,0.0028875,0.7,1,PASS
C005,edge,0.002275,0.7,1,PASS
C006,edge,0.002275,0.7,1,PASS
C007,center,0.0028875,0.85,1,PASS
C008,center,0.0035,0.85,1,PASS
C009,center,0.0028875,0.85,1,PASS
C010,edge,0.002275,0.7,1,PASS
C011,edge,0.002275,0.7,1,PASS
C012,center,0.0028875,0.85,1,PASS
C013,center,0.0035,0.85,1,PASS
C014,center,0.0028875,0.85,1,PASS
C015,edge,0.002275,0.7,1,PASS
C016,edge,0.002275,0.7,1,PASS
C017,center,0.0028875,0.85,1,PASS
C018,center,0.0035,0.85,1,PASS
C019,center,0.0028875,0.85,1,PASS
C020,edge,0.002275,0.7,1,PASS
C021,edge,0.002275,0.7,1,PASS
C022,edge,0.0028875,0.7,1,PASS
C023,edge,0.0035,0.7,1,PASS
C024,edge,0.0028875,0.7,1,PASS
C025,edge,0.002275,0.7,1,PASS
