point_id,contact_domain_id,local_index,x_i0,x_j0,normal_n,tangent_basis_T,area_weight,local_coordinate_system_id,candidate_flag,edge_or_interior_flag,correspondence_quality,metadata
C001,CD_G_RIB03_PANEL_L,0,"[0.0,-40.0,0.0]","[0.0,-40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C002,CD_G_RIB03_PANEL_L,1,"[0.0,-20.0,0.0]","[0.0,-20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C003,CD_G_RIB03_PANEL_L,2,"[0.0,0.0,0.0]","[0.0,0.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C004,CD_G_RIB03_PANEL_L,3,"[0.0,20.0,0.0]","[0.0,20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C005,CD_G_RIB03_PANEL_L,4,"[0.0,40.0,0.0]","[0.0,40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C006,CD_G_RIB03_PANEL_L,5,"[100.0,-40.0,0.0]","[100.0,-40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C007,CD_G_RIB03_PANEL_L,6,"[100.0,-20.0,0.0]","[100.0,-20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C008,CD_G_RIB03_PANEL_L,7,"[100.0,0.0,0.0]","[100.0,0.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C009,CD_G_RIB03_PANEL_L,8,"[100.0,20.0,0.0]","[100.0,20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C010,CD_G_RIB03_PANEL_L,9,"[100.0,40.0,0.0]","[100.0,40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
