matrix_id,npz_file,npz_key,shape,unit,description,quality_flag
G_GAP_DEFAULT,default_matrices.npz,G_GAP_DEFAULT,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
BN_DEFAULT,default_matrices.npz,BN_DEFAULT,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
BT_DEFAULT,default_matrices.npz,BT_DEFAULT,"[50,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
QA_MATRIX_DEFAULT,default_matrices.npz,QA_MATRIX_DEFAULT,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
CN_DEFAULT,default_matrices.npz,CN_DEFAULT,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
GAP_INITIAL_DEFAULT,default_matrices.npz,GAP_INITIAL_DEFAULT,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
NOMINAL_GAP_DEFAULT,default_matrices.npz,NOMINAL_GAP_DEFAULT,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
SMS_COMPONENT_DEFAULT,default_matrices.npz,SMS_COMPONENT_DEFAULT,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
POSE_COMPONENT_DEFAULT,default_matrices.npz,POSE_COMPONENT_DEFAULT,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
POINTS_XY,default_matrices.npz,POINTS_XY,"[25,2]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_STRUCT_S_LOCATE_01,default_matrices.npz,W_STRUCT_S_LOCATE_01,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_TOTAL_S_LOCATE_01,default_matrices.npz,W_TOTAL_S_LOCATE_01,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
U_FREE_S_LOCATE_01,default_matrices.npz,U_FREE_S_LOCATE_01,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Q_S_LOCATE_01,default_matrices.npz,Q_S_LOCATE_01,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_STRUCT_S_CLAMP_02,default_matrices.npz,W_STRUCT_S_CLAMP_02,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_TOTAL_S_CLAMP_02,default_matrices.npz,W_TOTAL_S_CLAMP_02,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
U_FREE_S_CLAMP_02,default_matrices.npz,U_FREE_S_CLAMP_02,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Q_S_CLAMP_02,default_matrices.npz,Q_S_CLAMP_02,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_STRUCT_S_JOIN_03,default_matrices.npz,W_STRUCT_S_JOIN_03,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_TOTAL_S_JOIN_03,default_matrices.npz,W_TOTAL_S_JOIN_03,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
U_FREE_S_JOIN_03,default_matrices.npz,U_FREE_S_JOIN_03,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Q_S_JOIN_03,default_matrices.npz,Q_S_JOIN_03,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_STRUCT_S_RELEASE_04,default_matrices.npz,W_STRUCT_S_RELEASE_04,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_TOTAL_S_RELEASE_04,default_matrices.npz,W_TOTAL_S_RELEASE_04,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
U_FREE_S_RELEASE_04,default_matrices.npz,U_FREE_S_RELEASE_04,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Q_S_RELEASE_04,default_matrices.npz,Q_S_RELEASE_04,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
G_gap_mapping,default_matrices.npz,G_gap_mapping,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Bn_mapping,default_matrices.npz,Bn_mapping,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Bt_mapping,default_matrices.npz,Bt_mapping,"[50,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
QA,default_matrices.npz,QA,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
Cn_local,default_matrices.npz,Cn_local,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
g0,default_matrices.npz,g0,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
nominal_gap,default_matrices.npz,nominal_gap,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
sms_component,default_matrices.npz,sms_component,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
pose_component,default_matrices.npz,pose_component,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
points_xy,default_matrices.npz,points_xy,"[25,2]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_struct__S_LOCATE_01,default_matrices.npz,W_struct__S_LOCATE_01,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_total__S_LOCATE_01,default_matrices.npz,W_total__S_LOCATE_01,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
u_free__S_LOCATE_01,default_matrices.npz,u_free__S_LOCATE_01,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
q__S_LOCATE_01,default_matrices.npz,q__S_LOCATE_01,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_struct__S_CLAMP_02,default_matrices.npz,W_struct__S_CLAMP_02,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_total__S_CLAMP_02,default_matrices.npz,W_total__S_CLAMP_02,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
u_free__S_CLAMP_02,default_matrices.npz,u_free__S_CLAMP_02,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
q__S_CLAMP_02,default_matrices.npz,q__S_CLAMP_02,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_struct__S_JOIN_03,default_matrices.npz,W_struct__S_JOIN_03,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_total__S_JOIN_03,default_matrices.npz,W_total__S_JOIN_03,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
u_free__S_JOIN_03,default_matrices.npz,u_free__S_JOIN_03,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
q__S_JOIN_03,default_matrices.npz,q__S_JOIN_03,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_struct__S_RELEASE_04,default_matrices.npz,W_struct__S_RELEASE_04,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
W_total__S_RELEASE_04,default_matrices.npz,W_total__S_RELEASE_04,"[25,25]",mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
u_free__S_RELEASE_04,default_matrices.npz,u_free__S_RELEASE_04,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
q__S_RELEASE_04,default_matrices.npz,q__S_RELEASE_04,[25],mixed,converted from E1_min_closed_loop E1_matrices.npz,PASS
